KEY_SENSITIVE(3)	[0.0,0.013731384133074197]
KEY_SENSITIVE(4)	[0.257386717425671,0.25738671742567093]
KEY_SENSITIVE(19)	[0.0027906380212728583,0.0028225176576321884]
KEY_SENSITIVE(20)	[0.001007337784865617,0.0010510784613787596]
KEY_SENSITIVE(21)	[0.0,0.00023236593222311595]
KEY_SENSITIVE(29)	[0.0,0.00011786818378324659]
KEY_SENSITIVE(30)	[0.0,1.915594881371586e-05]
KEY_SENSITIVE(31)	[0.0,5.3656190508356725e-08]
assign(3,15)	[0.01363310030084285,0.013633101195999999]
assign(4,17)	[0.39067864069,0.39067864069]
assign(19,4)	[0.056225399129422024,0.05622539929999999]
assign(19,17)	[0.01887293343593516,0.018872933435935157]
assign(20,4)	[0.01103518702841293,0.011131052315126748]
assign(20,17)	[0.0068804173510775635,0.006925840983896263]
assign(20,19)	[0.22930597102045502,0.22930597102045502]
assign(21,17)	[0.0,0.001539719230279768]
assign(21,19)	[0.0,0.0949543650288988]
assign(21,20)	[0.20227925602545302,0.20227925602545302]
assign(29,3)	[0.04426572092,0.04426572092]
assign(29,15)	[0.0005185007534729862,0.0005185007534729862]
assign(30,3)	[0.003680168658140893,0.003680168658140893]
assign(30,15)	[7.377826403697871e-05,8.620014420141896e-05]
assign(30,29)	[0.0967638164433184,0.0967638164433184]
assign(31,15)	[0.0,4.7206590131623633e-07]
assign(31,29)	[0.0,0.00013245734953611096]
assign(31,30)	[0.00028001965153869003,0.00028001965153869003]
equal_assign(3,15)	[0.0030991445258891012,0.0030991447293807002]
equal_assign(4,17)	[0.08881102199485426,0.08881102199485426]
equal_assign(19,17)	[0.0042902895933239595,0.0042902895933239595]
equal_assign(20,17)	[0.0015649156266031073,0.0015740789494987815]
equal_assign(21,17)	[0.0,0.00035001667402334834]
equal_assign(29,15)	[0.00011786818378324659,0.0001178681837832466]
equal_assign(30,15)	[1.3607282316322542e-05,2.1123385447705503e-05]
equal_assign(31,15)	[0.0,1.0731238101671346e-07]
load_assign(20,19)	[0.326022039,0.326022039]
load_assign(21,20)	[0.28759606740000004,0.28759606740000004]
load_assign(30,29)	[0.137576603862,0.137576603862]
load_assign(31,30)	[0.000398125602,0.000398125602]
